Pesticide_Name,variable,relationship,n,spearman_rho,p_value,p_value_fdr_bh,significant_fdr_0_05
"1H-1,2,4-Triazole",Discharge_cfs,non_nondetect_status_vs_env,5123,-0.008411025463951349,0.5472513397005822,0.5976081702938729,False
"1H-1,2,4-Triazole",Discharge_cfs,log10_value_vs_env_among_non_nondetects,1151,-0.062137888614966545,0.03504302881058419,0.04767594389285279,True
"1H-1,2,4-Triazole",Water_Temperature_C,non_nondetect_status_vs_env,5222,0.07262201066567396,1.4915853613926485e-07,2.803838894984272e-07,True
"1H-1,2,4-Triazole",Water_Temperature_C,log10_value_vs_env_among_non_nondetects,1230,0.08764702789317254,0.0020930776578511247,0.0031767049198510905,True
"1H-1,2,4-Triazole",Dissolved_Oxygen_mg_L,non_nondetect_status_vs_env,5158,-0.14075266953954543,3.0874804242416635e-24,8.518678481451088e-24,True
"1H-1,2,4-Triazole",Dissolved_Oxygen_mg_L,log10_value_vs_env_among_non_nondetects,1222,-0.03298497310891982,0.24924175911978483,0.2983027129197911,False
"1H-1,2,4-Triazole",pH,non_nondetect_status_vs_env,5144,-0.4162966028489927,8.399065389926434e-215,4.8665172994573753e-213,True
"1H-1,2,4-Triazole",pH,log10_value_vs_env_among_non_nondetects,1212,0.21675345466307266,2.3640417691004276e-14,5.5049199587799555e-14,True
"1H-1,2,4-Triazole",Turbidity_FNU,non_nondetect_status_vs_env,1297,-0.10013264495638524,0.00030411511442552904,0.0004967717872456817,True
"1H-1,2,4-Triazole",Turbidity_FNU,log10_value_vs_env_among_non_nondetects,363,0.288920626546443,2.0743160538656733e-08,4.022049828853717e-08,True
"1H-1,2,4-Triazole",Specific_Conductance,non_nondetect_status_vs_env,5160,-0.2749693399396533,3.5341729528701224e-90,2.7196565301383363e-89,True
"1H-1,2,4-Triazole",Specific_Conductance,log10_value_vs_env_among_non_nondetects,1215,0.4570645987440192,9.40274466732455e-64,4.952782618884856e-63,True
"2,4-D",Discharge_cfs,non_nondetect_status_vs_env,11427,-0.06399617634037919,7.526757386681072e-12,1.6511928788153354e-11,True
"2,4-D",Discharge_cfs,log10_value_vs_env_among_non_nondetects,6330,-0.1949859959788562,2.8027620487499716e-55,1.3336814579800589e-54,True
"2,4-D",Water_Temperature_C,non_nondetect_status_vs_env,11529,0.14606307216246314,5.317270031370838e-56,2.5674073435785662e-55,True
"2,4-D",Water_Temperature_C,log10_value_vs_env_among_non_nondetects,6326,0.02908258564569128,0.020714438442419113,0.028778169063163366,True
"2,4-D",Dissolved_Oxygen_mg_L,non_nondetect_status_vs_env,11416,-0.1636850494577965,2.2159814718760733e-69,1.2764571636245218e-68,True
"2,4-D",Dissolved_Oxygen_mg_L,log10_value_vs_env_among_non_nondetects,6281,-0.13623751606681078,2.0914004224476244e-27,6.1310399289015174e-27,True
"2,4-D",pH,non_nondetect_status_vs_env,11375,0.011907596698248821,0.2041223756322332,0.24730693726660483,False
"2,4-D",pH,log10_value_vs_env_among_non_nondetects,6250,-0.0775737200939273,8.212289441150257e-10,1.6644249175993834e-09,True
"2,4-D",Turbidity_FNU,non_nondetect_status_vs_env,2957,0.3112753829997257,1.8934502776500763e-67,1.0718669675203018e-66,True
"2,4-D",Turbidity_FNU,log10_value_vs_env_among_non_nondetects,1737,0.2646713871665555,3.123075342137543e-29,9.465320652324554e-29,True
"2,4-D",Specific_Conductance,non_nondetect_status_vs_env,11444,0.12394011238834934,2.0634539599368394e-40,7.78736456144746e-40,True
"2,4-D",Specific_Conductance,log10_value_vs_env_among_non_nondetects,6275,0.08940553594872146,1.293036707586377e-12,2.9012327038099803e-12,True
3-Phenoxybenzoic acid,Discharge_cfs,non_nondetect_status_vs_env,12459,-0.027716046499460845,0.0019751343566388095,0.003011621271345553,True
3-Phenoxybenzoic acid,Discharge_cfs,log10_value_vs_env_among_non_nondetects,20,-0.24294849405196925,0.3020217453123649,0.35627714866189153,False
3-Phenoxybenzoic acid,Water_Temperature_C,non_nondetect_status_vs_env,12567,0.024085399936881767,0.006930617746078378,0.01009860721876805,True
3-Phenoxybenzoic acid,Water_Temperature_C,log10_value_vs_env_among_non_nondetects,20,-0.08649868983274446,0.716898735078256,0.7568545059507847,False
3-Phenoxybenzoic acid,Dissolved_Oxygen_mg_L,non_nondetect_status_vs_env,12452,-0.02360319845676057,0.008439823436453628,0.012207380447733954,True
3-Phenoxybenzoic acid,Dissolved_Oxygen_mg_L,log10_value_vs_env_among_non_nondetects,20,-0.18312028709978928,0.43965429410777773,0.4937964420708792,False
3-Phenoxybenzoic acid,pH,non_nondetect_status_vs_env,12400,0.000653597174593721,0.9419858244310854,0.949699116749866,False
3-Phenoxybenzoic acid,pH,log10_value_vs_env_among_non_nondetects,20,0.2600929673181335,0.26808975630348847,0.3189232004334977,False
3-Phenoxybenzoic acid,Turbidity_FNU,non_nondetect_status_vs_env,3283,0.010978466610880094,0.5294683746170633,0.58076430846081,False
3-Phenoxybenzoic acid,Turbidity_FNU,log10_value_vs_env_among_non_nondetects,5,,,,False
3-Phenoxybenzoic acid,Specific_Conductance,non_nondetect_status_vs_env,12479,0.029737242307870407,0.0008926817405959463,0.0014113828482937515,True
